step_no,step_desc,empty_col1,step_qty,step_unit,component_item_code,notes_1,notes_2,empty_col2,empty_col2,blend_part_num,ref_no,prepared_by,prepared_date,lbs_gal
1,Gather the required materials.,,,,,,,,,052002,1-253,VW,,8.7
2,Verify that the vessel is clean. ,,,,,,,,,052002,1-253,VW,,8.7
3,Apply GHS labels to the mix vessel.,,,,,,,,,052002,1-253,VW,,8.7
4,Charge vessel with PG.,,0.8,gal,50000.0,,,,,052002,1-253,VW,,8.7
5,Start agitator. ,,,,,,,,,052002,1-253,VW,,8.7
6,Add DKP,,0.03,gal,30066.0,,,,,052002,1-253,VW,,8.7
7,Add water.,,0.17,gal,,,,,,052002,1-253,VW,,8.7
8,Add Chromatint Green 0218,,0.39498,grams,240011.0,,,,,052002,1-253,VW,,8.7
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,,,,,,,052002,1-253,VW,,8.7
10,Ensure that any agitators used have been turned off.,,,,,,,,,052002,1-253,VW,,8.7
11,Remove GHS labels from the mix vessel. ,,,,,,,,,052002,1-253,VW,,8.7
1,Gather the required materials.,,,,,,,,,052004N,2-040,VW,2007-06-07,8.74
2,Verify that the vessel is clean. ,,,,,,,,,052004N,2-040,VW,2007-06-07,8.74
3,Apply GHS labels to the mix vessel.,,,,,,,,,052004N,2-040,VW,2007-06-07,8.74
4,Charge vessel with PG.,,0.9799,gal,50000.0,,,,,052004N,2-040,VW,2007-06-07,8.74
5,Start agitator. ,,,,,,,,,052004N,2-040,VW,2007-06-07,8.74
6,Add MetalGuard 81,,0.02,gal,50015.0,,,,,052004N,2-040,VW,2007-06-07,8.74
7,Agitate for 10 minutes.,,,,,,,,,052004N,2-040,VW,2007-06-07,8.74
8,Add Chromatint Green 0218,,0.39679600000000004,grams,240011.0,,,,,052004N,2-040,VW,2007-06-07,8.74
9,Add Uranine C Dye (Keystone),,0.1587184,grams,240087.0,,,,,052004N,2-040,VW,2007-06-07,8.74
10,Using black wire locks; re-seal phosphoric acid tote.,,,,,,,,,052004N,2-040,VW,2007-06-07,8.74
11,Add Phosphoric Acid,,0.0005,gal,240079.0,,,,,052004N,2-040,VW,2007-06-07,8.74
12,Agitate for 10 minutes.,,,,,,,,,052004N,2-040,VW,2007-06-07,8.74
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,,,,,,,052004N,2-040,VW,2007-06-07,8.74
14,Ensure that any agitators used have been turned off.,,,,,,,,,052004N,2-040,VW,2007-06-07,8.74
15,Remove GHS labels from the mix vessel. ,,,,,,,,,052004N,2-040,VW,2007-06-07,8.74
1,Gather the required materials.,,,,,,,,,052004PURPLE,,VW,,8.74
2,Verify that the vessel is clean. ,,,,,,,,,052004PURPLE,,VW,,8.74
3,Apply GHS labels to the mix vessel.,,,,,,,,,052004PURPLE,,VW,,8.74
4,Charge vessel with PG.,,0.98,gal,50000.0,,,,,052004PURPLE,,VW,,8.74
5,Start agitator. ,,,,,,,,,052004PURPLE,,VW,,8.74
6,Add MetalGuard 81,,0.02,gal,50015.0,,,,,052004PURPLE,,VW,,8.74
7,Add L84020 LIQUITINT VIOLET 0974,,0.11903880000000001,grams,50012.0,,,,,052004PURPLE,,VW,,8.74
8,Add Phosphoric Acid,,0.0005,gal,240079.0,,,,,052004PURPLE,,VW,,8.74
9,Using black wire locks; re-seal phosphoric acid tote.,,,,,,,,,052004PURPLE,,VW,,8.74
10,Agitate for 10 minutes.,,,,,,,,,052004PURPLE,,VW,,8.74
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,,,,,,,052004PURPLE,,VW,,8.74
12,Ensure that any agitators used have been turned off.,,,,,,,,,052004PURPLE,,VW,,8.74
13,Remove GHS labels from the mix vessel. ,,,,,,,,,052004PURPLE,,VW,,8.74
1,Gather the required materials.,,,,,,,,,089300.B,5-69A,VW,2016-01-06,8.02
2,Verify that the vessel is clean. ,,,,,,,,,089300.B,5-69A,VW,2016-01-06,8.02
3,Apply GHS label to the mix vessel.,,,,,,,,,089300.B,5-69A,VW,2016-01-06,8.02
4,Set aside 20% of the water for later.,,0.10981822541966424,gal,WATER,,,,,089300.B,5-69A,VW,2016-01-06,8.02
5,Charge mix vessel with the main portion of the water.,,0.43927290167865696,gal,WATER,,,,,089300.B,5-69A,VW,2016-01-06,8.02
6,Add Tomadol 91-8,,0.23658999999999997,lbs,031013,,,,,089300.B,5-69A,VW,2016-01-06,8.02
7,Agitate for 5 minutes.,,,,,,,,,089300.B,5-69A,VW,2016-01-06,8.02
8,Add Propylene Glycol DPM,,0.0802,lbs,030011,,,,,089300.B,5-69A,VW,2016-01-06,8.02
9,Add Glycol Ether DPNB,,0.8822,lbs,030031,,,,,089300.B,5-69A,VW,2016-01-06,8.02
10,Agitate for 5 minutes.,,,,,,,,,089300.B,5-69A,VW,2016-01-06,8.02
11,Add Fatty Tall Oil,,1.1228,lbs,030032,,,,,089300.B,5-69A,VW,2016-01-06,8.02
12,Add Sasol LPA 170 (vessel B),,0.6416,lbs,100507TANKB,,,,,089300.B,5-69A,VW,2016-01-06,8.02
13,Add Monoethanolamine,,0.2807,lbs,030035,,,,,089300.B,5-69A,VW,2016-01-06,8.02
14,Add d-Limonene,,0.19649,lbs,030038,,,,,089300.B,5-69A,VW,2016-01-06,8.02
15,Add the remaining water. ,,0.10981822541966424,gal,WATER,,,,,089300.B,5-69A,VW,2016-01-06,8.02
16,Agitate for 10 minutes or until blend turns clear. ,,,,,,,,,089300.B,5-69A,VW,2016-01-06,8.02
17,Sample blend; label sample container; and deliver sample to QC Lab.,,,,,,,,,089300.B,5-69A,VW,2016-01-06,8.02
18,Ensure that any agitators used have been turned off.,,,,,,,,,089300.B,5-69A,VW,2016-01-06,8.02
19,Remove GHS label from the mix vessel.,,,,,,,,,089300.B,5-69A,VW,2016-01-06,8.02
1,Gather the required materials.,,,,,,,,,100501K.B,3-128A,VW,2008-12-16,7.12
2,Ensure that vessel is empty. ,,,,,,,,,100501K.B,3-128A,VW,2008-12-16,7.12
3,Charge vessel with Motiva Star 12.,,0.5189,gal,100421G2,,,,,100501K.B,3-128A,VW,2008-12-16,7.12
4,Start agitator. ,,,,,,,,,100501K.B,3-128A,VW,2008-12-16,7.12
5,Add Infineum S816,,0.241,gal,100508,,,,,100501K.B,3-128A,VW,2008-12-16,7.12
6,Agitate for 20 minutes.,,,,,,,,,100501K.B,3-128A,VW,2008-12-16,7.12
7,Add Calumet  400-500<1%,,0.2389,gal,100507TANKD,,,,,100501K.B,3-128A,VW,2008-12-16,7.12
8,Add Chromatint Green HF,,0.008544,lbs,100418,,,,,100501K.B,3-128A,VW,2008-12-16,7.12
9,Agitate for 1 hour.,,,,,,,,,100501K.B,3-128A,VW,2008-12-16,7.12
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,,,,,,,100501K.B,3-128A,VW,2008-12-16,7.12
11,Ensure that any agitators used have been turned off.,,,,,,,,,100501K.B,3-128A,VW,2008-12-16,7.12
1,Gather the required materials.,,,,,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
2,Verify that the vessel is clean. ,,,,,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
3,Apply GHS label to the mix vessel.,,,,,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
4,Charge vessel with DI water.,,0.9460149880095922,gal,30143.0,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
5,Start agitator,,,,,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
6,Add Sodium Metasilcilate,,0.105625,lbs,240073.0,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
7,Add Dissolvine E-39,,0.190125,lbs,30019.0,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
8,Add Glycol Ether EB,,0.0338,lbs,30012.0,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
9,Add Glycol Ether DB,,0.088725,lbs,31031.0,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
10,Add DDBSA,,0.042249999999999996,lbs,30010.0,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
11,Add 91-8,,0.08449999999999999,lbs,31013.0,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
12,Add Citrus Fragrance #40692,,0.013519999999999999,lbs,31050.0,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
13,Add PTFE Dispersion,,0.0016899999999999999,lbs,31036.0,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
14,Agitate for 10 minutes.,,,,,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,,,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
16,Ensure that any agitators used have been turned off.,,,,,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
17,Remove GHS label from the mix vessel.,,,,,,,,,114000Orange.B,5-173B,VW,2018-11-09,8.45
1,Gather the required materials.,,,,,,,,,1170570.B,5-137E,VW,2017-06-05,10.54
2,Verify that the vessel is clean. ,,,,,,,,,1170570.B,5-137E,VW,2017-06-05,10.54
3,Apply GHS label to the mix vessel.,,,,,,,,,1170570.B,5-137E,VW,2017-06-05,10.54
4,Charge vessel with DI water.,,0.5238405275779375,gal,030143,,,,,1170570.B,5-137E,VW,2017-06-05,10.54
5,Start agitator.,,,,,,,,,1170570.B,5-137E,VW,2017-06-05,10.54
6,Add Calcium Nitrate 66% (GEP66),,6.159681399999999,lbs,100408,,,,,1170570.B,5-137E,VW,2017-06-05,10.54
7,Add Preventol D7,,0.010539999999999999,lbs,030146P,,,,,1170570.B,5-137E,VW,2017-06-05,10.54
